１回目 FixedUpdate
0.09448694
49.97845
48.85269
50.17009
50.34835
50.34063
49.97598
50.3663
49.9837
50.31443
49.95741
48.80485
49.95522
50.35291
49.97731

2回目 Update
0.063174
59.98851
59.99471
59.99657
60.067
59.90699
60.03926
59.99954
59.9913
59.99496
59.98608
60.01554
59.99313
60.03616
